,PPO,CPPO,PPO-DeepSeek 10%,PPO-DeepSeek 1%,PPO-DeepSeek 0.1%,CPPO-DeepSeek 10%,CPPO-DeepSeek 1%,CPPO-DeepSeek 0.1%,CPPO-DeepSeek Phase1 EP90,CPPO-DeepSeek Phase1 EP100,CPPO-DeepSeek Phase1 EP110,Nasdaq-100
2019-02-04,1123359.2581578884,1135034.29444166,1144003.8804109532,1148815.5717388666,1159008.6966504338,1099611.165352709,1150445.211330537,1071427.03725274,1131335.9710016286,1131789.8767645285,1141549.8621434115,1094183.6309675965
2019-02-05,1119682.5037332026,1126111.8958287935,1133819.4755613422,1149970.047208752,1162081.463428235,1096830.5285166663,1144258.711625707,1077415.888657699,1123816.8285994176,1123817.5618838277,1135678.42682558,1104175.9838097033
2019-02-06,1109683.2218819314,1099879.4478409854,1100156.1043635085,1123204.1924802004,1153403.1437156019,1077391.1965877577,1131815.0193931977,1057139.7453504417,1122206.023318363,1119712.6722879373,1128802.610900281,1100104.2291807623
2019-02-07,1109167.2862971257,1101879.8729220342,1117150.4795495854,1132454.618826464,1161155.9000283384,1087357.7571779974,1140048.5572409339,1076109.1098380627,1124272.773878571,1123232.020235803,1134445.277954292,1085540.1624710162
2019-02-08,1114528.7609269153,1105048.7081718647,1115778.5986350505,1128021.9687353452,1161964.658971221,1091328.214846482,1141989.1898390779,1079120.1795615877,1128560.078026859,1127671.5920587431,1138821.748367904,1086821.4183673954
2019-02-11,1136178.042406487,1131428.9566597024,1140898.8657953944,1156937.269368633,1178161.6580065868,1112528.984807683,1160793.7224282178,1106955.8202794269,1152088.7253386716,1151607.0939416506,1160929.2477213799,1086200.4802003705
2019-02-12,1132383.2023011846,1125926.626322376,1140618.234809973,1147955.5438322793,1183871.6492600103,1115571.673727595,1162047.405191407,1110697.513739919,1146621.7982719708,1144088.79362983,1153881.1134166643,1102784.6493706717
2019-02-13,1133536.6721731643,1134883.371990822,1153639.8977851407,1159910.2128809697,1178705.2294700753,1118456.4517557875,1162662.073462549,1108109.8959700738,1156146.0276413774,1153389.5742471311,1163115.4291586024,1102974.868777012
2019-02-14,1143887.492893078,1149608.7028249677,1166437.0085530344,1164727.8619386335,1194885.798499503,1136374.5927977068,1176210.1590268174,1131915.41480434,1164029.5594999676,1160934.6169969072,1168924.8519558362,1104003.0361412265
2019-02-15,1150300.1114451205,1154885.3155440944,1165904.358240471,1172134.361630939,1197588.6392428386,1136496.7102397548,1173758.2308818023,1137962.9755482986,1162682.7539432575,1160796.0017463549,1170698.594600174,1109153.3148456651
2019-02-19,1148790.1335306945,1156967.9380326364,1162526.5612783085,1170751.0682282848,1204489.095550086,1140942.0492908873,1173696.0823218909,1138364.268491431,1161973.0291479127,1158436.6023588856,1166771.6009157803,1110950.1896897398
2019-02-20,1143012.0193580051,1137200.8506880994,1138170.590667569,1161951.2192732352,1200251.6561620187,1122905.4821712011,1160485.54709258,1121423.2552255366,1152823.3115861428,1150239.9668499227,1158693.3723931538,1110278.8948114316
2019-02-21,1162746.2582222752,1152475.1990356154,1150353.4075758911,1176943.9149402543,1213428.4692545922,1137465.2787564157,1174299.8462131293,1135624.9806865014,1163918.9313799392,1161801.6219301508,1175731.0258950565,1106005.943627197
2019-02-22,1168469.1722407679,1156568.8378212764,1154061.0411060967,1180958.1773678986,1214329.129179213,1146685.0098117949,1178139.8288395798,1148524.8394801999,1159204.6735940126,1158731.7618678098,1174544.3546960985,1114726.4056930104
2019-02-25,1160384.3784556345,1152160.1455871216,1156581.9670812993,1177938.2275038592,1211981.9144691157,1144572.2486430737,1178908.483701933,1137251.7471279686,1160784.6549294724,1160931.4392970311,1175843.872139523,1118625.2894167542
2019-02-26,1239131.9793440185,1195930.521489121,1172228.031470021,1178361.2172966916,1217650.6289253784,1162483.57691559,1190240.068746988,1158983.661339649,1161454.8997314388,1161791.5037049286,1179625.0051567885,1119849.9707762196
2019-02-27,1251871.3293415434,1200600.405873427,1165854.3251104201,1174391.0698659588,1219276.3770124312,1161668.1864983852,1191533.4112000957,1169203.2774224065,1156786.1128128616,1157390.6329916043,1175147.12521008,1118872.0833600084
2019-02-28,1246115.3328741686,1203128.8486085664,1184168.4479963654,1183957.1005349108,1229734.9190647656,1183560.1421790652,1202885.9119204094,1196271.4304924598,1162078.0987275469,1159778.275717678,1172108.9681038857,1115811.147594139
2019-03-01,1241451.8737079708,1196285.6110453575,1166897.7643346624,1166343.785217326,1215939.426152046,1159093.0469425023,1188420.340293442,1155362.22243105,1149613.3334054297,1143718.4496009166,1152827.7719351668,1124306.8467778843
2019-03-04,1241891.148719504,1198083.4778494423,1160324.3854493008,1164514.625182317,1212226.8758705743,1145836.9431087547,1176886.3787639912,1140700.5772552616,1152252.0087045294,1147391.0353620132,1155760.2179780693,1124190.5504096013
2019-03-05,1229572.2414705893,1183991.1538079365,1145297.5491061925,1161052.8214989149,1203876.3079612204,1125214.1722532255,1157467.6564906933,1121546.5969685684,1147307.3519439662,1143924.8001732063,1154613.728438888,1125127.5229978948
2019-03-06,1214401.6675996329,1169984.2132331016,1147416.2060536905,1145041.8465026848,1189797.893562946,1104393.4688044582,1149586.5687024575,1100471.8501625613,1135769.9323676494,1131105.891265381,1144129.7103387616,1118159.9504170625
2019-03-07,1213081.398424925,1156660.6008271445,1136444.214982097,1143001.2884880814,1184226.6815938666,1100334.6183432664,1143828.433165562,1107435.1988457546,1127558.269807344,1123060.4647814746,1138117.8211251667,1104704.191935219
